run,stage,prompt_variant,model_name,recipe_index,recipe_type,recipe_name,ground_truth_copper_mg_per_serving,predicted_copper_mg_per_serving,MAE,SAE,squared_error,within_20_percent
2,stage3,Persona,persona__gpt_5_4_mini__reasoning_medium,0,breakfast,Scrambled Egg & Black Bean Burritos,0.15,0.15,0.0,0.0,0.0,True
2,stage3,Persona,persona__gpt_5_4_mini__reasoning_medium,1,breakfast,Cranberry Carrot Muffins,0.06,0.053,0.006999999999999999,-0.006999999999999999,4.899999999999999e-05,True
2,stage3,Persona,persona__gpt_5_4_mini__reasoning_medium,2,breakfast,Blueberry Banana Pancakes,0.17,0.181,0.010999999999999982,0.010999999999999982,0.00012099999999999961,True
2,stage3,Persona,persona__gpt_5_4_mini__reasoning_medium,3,breakfast,"Cheesy Egg, Bacon & Broccoli Muffins",0.08,0.088,0.007999999999999993,0.007999999999999993,6.399999999999989e-05,True
2,stage3,Persona,persona__gpt_5_4_mini__reasoning_medium,4,breakfast,Glorious Green Smoothie Bowl,0.17,0.12,0.05000000000000002,-0.05000000000000002,0.002500000000000002,False
2,stage3,Persona,persona__gpt_5_4_mini__reasoning_medium,5,anytime_meals,Sesame-Ginger Turkey Meatballs,0.04,0.068,0.028000000000000004,0.028000000000000004,0.0007840000000000002,False
2,stage3,Persona,persona__gpt_5_4_mini__reasoning_medium,6,anytime_meals,Chicken and Broccoli Piccata,0.13,0.12,0.010000000000000009,-0.010000000000000009,0.00010000000000000018,True
2,stage3,Persona,persona__gpt_5_4_mini__reasoning_medium,7,anytime_meals,Chicken Fajitas with Lime Sauce,0.12,0.16,0.04000000000000001,0.04000000000000001,0.0016000000000000007,False
2,stage3,Persona,persona__gpt_5_4_mini__reasoning_medium,8,anytime_meals,One-Pot Beef & Mushroom Lasagna,0.09,0.37,0.28,0.28,0.07840000000000001,False
2,stage3,Persona,persona__gpt_5_4_mini__reasoning_medium,9,anytime_meals,Pork Tenderloin with Dijon Gravy,0.14,0.06,0.08000000000000002,-0.08000000000000002,0.006400000000000003,False
2,stage3,Persona,persona__gpt_5_4_mini__reasoning_medium,10,anytime_meals,Fish Tacos with Crunchy Slaw,0.14,0.141,0.0009999999999999731,0.0009999999999999731,9.999999999999462e-07,True
2,stage3,Persona,persona__gpt_5_4_mini__reasoning_medium,11,anytime_meals,Chicken Sausage Garden Pasta,0.04,0.21,0.16999999999999998,0.16999999999999998,0.028899999999999995,False
2,stage3,Persona,persona__gpt_5_4_mini__reasoning_medium,12,anytime_meals,Roasted Cauliflower Power Salad,0.12,0.17,0.05000000000000002,0.05000000000000002,0.002500000000000002,False
2,stage3,Persona,persona__gpt_5_4_mini__reasoning_medium,13,anytime_meals,Simple Greek Salad,0.12,0.13,0.010000000000000009,0.010000000000000009,0.00010000000000000018,True
2,stage3,Persona,persona__gpt_5_4_mini__reasoning_medium,14,anytime_meals,Apple-Celery Chicken Salad,0.1,0.051,0.04900000000000001,-0.04900000000000001,0.002401000000000001,False
2,stage3,Persona,persona__gpt_5_4_mini__reasoning_medium,15,anytime_meals,Harvest Crunch Kale & Chicken Salad,0.19,0.171,0.01899999999999999,-0.01899999999999999,0.0003609999999999996,True
2,stage3,Persona,persona__gpt_5_4_mini__reasoning_medium,16,desserts,Citrus-Berry Ricotta Parfaits,0.1,0.053,0.04700000000000001,-0.04700000000000001,0.0022090000000000005,False
2,stage3,Persona,persona__gpt_5_4_mini__reasoning_medium,17,desserts,Crispy Rice Cereal Treats,0.02,0.022,0.0019999999999999983,0.0019999999999999983,3.999999999999993e-06,True
2,stage3,Persona,persona__gpt_5_4_mini__reasoning_medium,18,desserts,Carob Chip Cranberry Cookies,0.03,0.0465,0.0165,0.0165,0.00027225000000000003,False
2,stage3,Persona,persona__gpt_5_4_mini__reasoning_medium,19,desserts,Pumpkin Cinnamon Bars,0.06,0.052,0.008,-0.008,6.4e-05,True
2,stage3,Persona,persona__gpt_5_4_mini__reasoning_medium,20,desserts,Carob Cupcakes with Cream Cheese Frosting,0.03,0.039,0.009000000000000001,0.009000000000000001,8.100000000000002e-05,False
2,stage3,Persona,persona__gpt_5_4_mini__reasoning_medium,21,snacks,Rice Cakes with Peanut Butter and Strawberries,0.16,0.15,0.010000000000000009,-0.010000000000000009,0.00010000000000000018,True
