model_name,model_file,valid_predictions_count,invalid_predictions_count,total_recipes,MAE,accuracy_percent,recipe_type,reasoning_level,failed_recipes
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,11,0,11,0.16727454545454548,36.36363636363637,anytime_meals,medium,
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.0965504,20.0,breakfast,medium,
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.026714500000000002,20.0,desserts,medium,
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.0596,20.0,snacks,medium,
cot__gpt_5_4_mini__reasoning_medium,cot__gpt_5_4_mini__reasoning_medium.jsonl,11,0,11,0.10313636363636364,18.181818181818183,anytime_meals,medium,
cot__gpt_5_4_mini__reasoning_medium,cot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.134874,20.0,breakfast,medium,
cot__gpt_5_4_mini__reasoning_medium,cot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.040884,40.0,desserts,medium,
cot__gpt_5_4_mini__reasoning_medium,cot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.136008,40.0,snacks,medium,
few_shot__gpt_5_4_mini__reasoning_medium,few_shot__gpt_5_4_mini__reasoning_medium.jsonl,11,0,11,0.1294725909090909,9.090909090909092,anytime_meals,medium,
few_shot__gpt_5_4_mini__reasoning_medium,few_shot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.12792339999999996,40.0,breakfast,medium,
few_shot__gpt_5_4_mini__reasoning_medium,few_shot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.0392733,0.0,desserts,medium,
few_shot__gpt_5_4_mini__reasoning_medium,few_shot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.176316,20.0,snacks,medium,
gpt_5_4_mini__reasoning_medium,gpt_5_4_mini__reasoning_medium.jsonl,11,0,11,0.12386363636363637,27.27272727272727,anytime_meals,medium,
gpt_5_4_mini__reasoning_medium,gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.1106,0.0,breakfast,medium,
gpt_5_4_mini__reasoning_medium,gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.035199999999999995,40.0,desserts,medium,
gpt_5_4_mini__reasoning_medium,gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.1,40.0,snacks,medium,
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,11,0,11,0.15636363636363637,27.27272727272727,anytime_meals,medium,
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.07659999999999999,20.0,breakfast,medium,
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.0258,20.0,desserts,medium,
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.1304,40.0,snacks,medium,
